ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5905497,HN686869,11/03/2007 01:22:23 PM,010XX N LAWLER AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1531,015,37,25,19,1142506,1906364,2007,04/15/2016 08:55:02 AM,41.899116196,-87.752027351,"(41.899116196, -87.752027351)"
5905537,HN688766,11/04/2007 01:45:03 PM,007XX N LOTUS AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1524,015,37,25,19,1139776,1904482,2007,04/15/2016 08:55:02 AM,41.894002082,-87.762100727,"(41.894002082, -87.762100727)"
5906231,HN703987,11/12/2007 09:15:00 PM,017XX W 91ST ST,1661,GAMBLING,GAME/DICE,ALLEY,true,false,2221,022,21,73,19,1166270,1844330,2007,04/15/2016 08:55:02 AM,41.728412989,-87.666510797,"(41.728412989, -87.666510797)"
5906318,HN688771,11/04/2007 01:29:36 PM,048XX W RICE ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1531,015,37,25,19,1143837,1905216,2007,04/15/2016 08:55:02 AM,41.895941101,-87.747167376,"(41.895941101, -87.747167376)"
5907012,HN685526,11/02/2007 06:47:55 PM,016XX S HOMAN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1021,010,24,29,19,1153973,1891485,2007,04/15/2016 08:55:02 AM,41.858065739,-87.710305805,"(41.858065739, -87.710305805)"
5907023,HN685128,11/02/2007 02:40:00 PM,012XX S KOLIN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1011,010,24,29,19,1147580,1894013,2007,04/15/2016 08:55:02 AM,41.865127786,-87.73370747,"(41.865127786, -87.73370747)"
5907174,HN694568,11/07/2007 05:45:00 PM,079XX S LAFLIN ST,1661,GAMBLING,GAME/DICE,RESIDENCE PORCH/HALLWAY,true,false,0612,006,21,71,19,1167710,1852264,2007,04/15/2016 08:55:02 AM,41.750154295,-87.661008708,"(41.750154295, -87.661008708)"
5907630,HN705332,11/13/2007 05:01:56 PM,049XX W WALTON ST,1661,GAMBLING,GAME/DICE,ALLEY,true,false,1531,015,37,25,19,1143352,1905861,2007,04/15/2016 08:55:02 AM,41.897720134,-87.748932564,"(41.897720134, -87.748932564)"
5907886,HN703943,11/12/2007 08:05:00 PM,010XX N MONTICELLO AVE,1661,GAMBLING,GAME/DICE,STREET,true,false,1112,011,27,23,19,1151855,1906697,2007,04/15/2016 08:55:02 AM,41.899851016,-87.717679685,"(41.899851016, -87.717679685)"
5909972,HN699608,11/10/2007 12:30:00 PM,085XX S MANISTEE AVE,1661,GAMBLING,GAME/DICE,ALLEY,true,false,0423,004,7,46,19,1195973,1848924,2007,04/15/2016 08:55:02 AM,41.740336364,-87.557552365,"(41.740336364, -87.557552365)"
5912151,HN703086,11/12/2007 01:35:00 PM,051XX W OHIO ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1532,015,28,25,19,1141804,1903516,2007,04/15/2016 08:55:02 AM,41.89131397,-87.754676362,"(41.89131397, -87.754676362)"
5912204,HN709002,11/15/2007 03:15:00 PM,049XX W OHIO ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1532,015,37,25,19,1143256,1903538,2007,04/15/2016 08:55:02 AM,41.891347346,-87.74934324,"(41.891347346, -87.74934324)"
5912528,HN697755,11/09/2007 01:00:00 PM,014XX W MADISON ST,1631,GAMBLING,WIREROOM/SPORTS,STREET,true,false,1212,012,27,28,19,1167013,1900136,2007,04/15/2016 08:55:02 AM,41.881535168,-87.662192716,"(41.881535168, -87.662192716)"
5914059,HN710673,11/16/2007 01:45:00 PM,001XX N LOCKWOOD AVE,1661,GAMBLING,GAME/DICE,ALLEY,true,false,1523,015,28,25,19,1141021,1900647,2007,04/15/2016 08:55:02 AM,41.883455534,-87.757622677,"(41.883455534, -87.757622677)"
5914567,HN711369,11/16/2007 08:34:36 PM,063XX S ARTESIAN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0825,008,15,66,19,1161126,1862627,2007,04/15/2016 08:55:02 AM,41.778730518,-87.684849239,"(41.778730518, -87.684849239)"
